Assay,LOD
ABCF3,0.976509184936807
ABHD5,2.20770109787743
ABHD8,6.22270040477226
ACAD9,7.2585583689779
ACSM5,2.67065654184691
ADGRF2,4.91106891907256
AFTPH,1.10470205154316
AHI1,3.8969293763397
AJM1,1.85400619612679
AKAP5,2.31227276895777
ALPK2,1.29405444392492
AMELY,1.57726576627701
ANAPC10,1.35810783553272
ANKRD20A1,4.71368556532729
ANKRD26P1,1.17977764521844
ANKRD28,1.09049301740158
ANKRD34B,2.10598248632954
ANKRD34C,2.12726277998218
ANKRD36BP1,0.24737663115906
ANKRD45,4.43059457214974
ANLN,0.844036983873396
APBB1,0.842003288163117
APEX2,1.04242231782829
APLF,2.08724435982978
APOBEC2,0.939672568640538
APTX,3.13640444946794
AQP1,8.38002300159276
AREL1,0.730750881564783
ARFGEF2,1.69402944191061
ARHGAP20,0.649400438710033
ARHGEF33,4.73301436524748
ARHGEF40,1.94436849338191
ARL14EP,4.43077857115025
ARPP21,6.04172496185128
ARR3,2.25721482888866
ARVCF,6.29183545647459
ASAP3,2.77763032563736
ASB11,0.456733810801033
ASB6,6.65620950924479
ASXL3,2.56535783025858
ASZ1,0.217107939741207
ATF3,5.83157762738848
ATP6AP1,1.59432728668619
ATRX,2.2172034388272
ATXN1,1.8421862487069
ATXN7,5.71684679697779
ATXN7L2,5.50406736621808
AUNIP,2.7739416558715
BANP,5.16322132261078
BAZ1A,6.65667605834044
BCL2L11,0.919629109311914
BHLHA15,6.80906729385013
BICD1,-0.504632453177453
BICDL1,6.26750957680567
BICRAL,6.92229641374538
BIK,7.09060914461548
BIN1,4.47356367517364
BIRC3,10.0341184021664
BIRC7,3.81525150322002
BLM,3.63787825208475
BLZF1,1.49206155062583
BMI1,0.95137964196586
BMPR1B,5.1941882878322
BOD1L1,1.51159545371306
BPIFA3,6.71057824927387
BRPF1,1.17111357920495
BTG4,3.52021193775564
BYSL,2.07929631767804
C10orf62,7.56280659788766
C10orf67,5.64333817685774
C10orf90,0.847406775645943
C12orf42,2.41723824616876
C14orf178,0.742854567629796
C1orf167,2.85043219069884
C22orf23,4.60326248616513
C2CD4C,0.994110530943837
C2orf42,0.439485966550279
C2orf83,3.72707595559935
C4orf17,-2.60385077858779
C6orf132,3.3794314086427
C9orf131,9.81370506745528
CABP4,0.447667813491405
CACNB4,1.31365307547232
CACTIN,4.12144243702216
CAGE1,-0.148538958105678
CAMK1G,4.0680238481543904
CAPSL,8.1169099702131
CASKIN1,5.97865496430842
CBY2,2.90535448215489
CCDC121,7.40159171418499
CCDC172,5.09452201566719
CCDC181,0.977751094722422
CCDC30,4.88784623116169
CCDC33,1.79682037573059
CCDC69,1.61378811558994
CCND1,2.06818597768126
CD300LD,0.374165183989546
CDC25C,1.75290604190977
CDCA2,2.24019364982842
CDCA3,-5.00863911746619
CDCA8,0.954188504958306
CEACAM4,-2.26539419957807
CENPS,0.727739931698296
CEP78,3.15704471693545
CEP83,1.43881643875692
CER1,0.987649762618549
CETN1,1.1291708699008
CFAP126,5.96977203725365
