OlinkID;AssayType;UniProt;Assay;Panel;Block;DataAnalysisRefID;BimodalDistribution;LODNPX;LODCount;LODMethod
OID40001;assay;Q9NUQ8;ABCF3;Explore_HT;1;D10001;FALSE;0.976509184936807;2086;lod_npx
OID40002;assay;Q8WTS1;ABHD5;Explore_HT;1;D10001;FALSE;2.20770109787743;564;lod_npx
OID40003;assay;Q96I13;ABHD8;Explore_HT;1;D10001;FALSE;6.22270040477226;150;lod_count
OID40004;assay;Q9H845;ACAD9;Explore_HT;1;D10001;FALSE;7.2585583689779;178;lod_count
OID40005;assay;Q6NUN0;ACSM5;Explore_HT;1;D10001;FALSE;2.67065654184691;572;lod_npx
OID40006;assay;Q8IZF7;ADGRF2;Explore_HT;1;D10001;FALSE;4.91106891907256;386;lod_npx
OID40007;assay;Q6ULP2;AFTPH;Explore_HT;1;D10001;FALSE;1.10470205154316;3150;lod_npx
OID40008;assay;Q8N157;AHI1;Explore_HT;1;D10001;FALSE;3.8969293763397;262;lod_count
OID40009;assay;C9J069;AJM1;Explore_HT;1;D10001;FALSE;1.85400619612679;974;lod_npx
OID40010;assay;P24588;AKAP5;Explore_HT;1;D10001;FALSE;2.31227276895777;600;lod_npx
OID40011;assay;Q86TB3;ALPK2;Explore_HT;1;D10001;FALSE;1.29405444392492;1202;lod_npx
OID40012;assay;Q99218;AMELY;Explore_HT;1;D10001;FALSE;1.57726576627701;1482;lod_npx
OID40013;assay;Q9UM13;ANAPC10;Explore_HT;1;D10001;FALSE;1.35810783553272;484;lod_npx
OID40014;assay;Q5TYW2;ANKRD20A1;Explore_HT;1;D10001;FALSE;4.71368556532729;278;lod_count
OID40015;assay;Q6NSI1;ANKRD26P1;Explore_HT;1;D10001;FALSE;1.17977764521844;2398;lod_npx
OID40016;assay;O15084;ANKRD28;Explore_HT;1;D10001;FALSE;1.09049301740158;2186;lod_npx
